Indicator Name,Indicator Code,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Forest area (%),AG.LND.FRST.ZS,North America,NAC,35.98276183,36.00871259,36.03466334,36.0606141,36.08656486,36.11251561,36.1673962,36.19336773,36.21933926,36.23224155,36.24514384,36.25804613,36.27094842,36.28385071,36.28166057,36.26305577,36.26101415,36.25897198,36.25693036
Forest area (%),AG.LND.FRST.ZS,United States,USA,33.24333764,33.29991967,33.35650169,33.41308372,33.46966575,33.52624777,33.6360635,33.69273522,33.74940694,33.77947006,33.80953318,33.8395963,33.86965942,33.89972254,33.89972254,33.86692641,33.86692641,33.86692641,33.86692641
Forest area (%),AG.LND.FRST.ZS,United Kingdom,GBR,12.2969454,12.34034638,12.38374736,12.42714835,12.47054933,12.51395032,12.5573513,12.60075228,12.64415327,12.72351507,12.80287687,12.88223866,12.96160046,13.04096226,13.05749597,13.07816311,13.11536395,13.15256479,13.18563221
Forest area (%),AG.LND.FRST.ZS,China,CHN,19.28151688,19.53202806,19.78253654,20.03304816,20.28355789,20.53406803,20.78457818,21.03508722,21.2855969,21.49109623,21.69659602,21.90209487,22.10759465,22.31309418,22.5428773,22.74231029,22.94173538,23.14116554,23.3405957
Forest area (%),AG.LND.FRST.ZS,South Africa,ZAF,14.59519904,14.56519302,14.535187,14.50518098,14.47517497,14.44516895,14.41516293,14.38515691,14.3551509,14.32514488,14.29513886,14.26513284,14.23512682,14.20512081,14.17511479,14.14510877,14.11510275,14.08509674,14.05509072
Forest area (%),AG.LND.FRST.ZS,Ireland,IRL,9.411583684,9.54225577,9.672927856,9.803599942,9.934272028,10.06494411,10.1956162,10.32628829,10.45696037,10.55651038,10.65606039,10.75561039,10.8551604,10.95471041,11.06619248,11.17752939,11.23559297,11.29365655,11.35172013
Forest area (%),AG.LND.FRST.ZS,Japan,JPN,68.2962963,68.32098765,68.34567901,68.37037037,68.39506173,68.41975309,68.44444444,68.4691358,68.49382716,68.48175583,68.4696845,68.45761317,68.44554184,68.43347051,68.42249657,68.40877915,68.40877915,68.40877915,68.40877915
Forest area (%),AG.LND.FRST.ZS,Norway,NOR,33.158108,33.15509632,33.15208463,33.14907295,33.14606126,33.14304958,33.14003789,33.13702621,33.13401452,33.15537011,33.1767257,33.2090866,33.23181086,33.24564399,33.27109973,33.29453362,33.31726503,33.33990698,33.43535968
Forest area (%),AG.LND.FRST.ZS,Lithuania,LTU,,,,,,33.9023612,34.14439569,34.38372557,34.62305544,34.67785685,34.73210582,34.78579976,34.85395052,34.90822027,34.96056959,35.05691161,35.0950024,35.13254551,35.14851485
Forest area (%),AG.LND.FRST.ZS,Australia,AUS,17.09911094,17.06958853,17.04006613,17.01054372,16.98102131,16.9514989,16.92197649,16.89245408,16.86293167,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456
